Datetime,open,high,low,close,volume
2025-08-14 00:00:00+00:00,123341.7890625,124322.2890625,123341.7890625,123810.921875,0
2025-08-14 01:00:00+00:00,123869.3046875,123945.828125,123414.03125,123414.03125,595369984
2025-08-14 02:00:00+00:00,123390.09375,123718.9375,123320.046875,123686.0703125,1586315264
2025-08-14 03:00:00+00:00,123675.6953125,123867.5703125,123363.4609375,123411.46875,264364032
2025-08-14 04:00:00+00:00,123385.7578125,123434.03125,123107.796875,123111.234375,0
2025-08-14 05:00:00+00:00,123072.71875,123135.5390625,122166.375,122177.6328125,1441939456
2025-08-14 06:00:00+00:00,121861.046875,122045.5625,121390.3671875,121810.6015625,2135875584
2025-08-14 07:00:00+00:00,121828.5625,122042.609375,121608.96875,121824.171875,931831808
2025-08-14 08:00:00+00:00,121679.1171875,122029.578125,121655.5078125,121655.5078125,0
2025-08-14 09:00:00+00:00,121669.2265625,121948.40625,121576.109375,121707.8671875,764551168
2025-08-14 10:00:00+00:00,121678.7109375,121747.2578125,120851.3359375,120913.8828125,0
2025-08-14 11:00:00+00:00,120951.2578125,121050.1171875,120773.1875,120991.6328125,1494548480
2025-08-14 12:00:00+00:00,120989.5390625,121136.59375,118627.9453125,118951.2734375,4162887680
2025-08-14 13:00:00+00:00,118660.359375,119133.8359375,117861.6484375,118488.84375,2836643840
2025-08-14 14:00:00+00:00,118472.3515625,119387.296875,118093.8515625,118852.7734375,0
2025-08-14 15:00:00+00:00,118915.6953125,118915.6953125,117955.9140625,118269.46875,0
2025-08-14 16:00:00+00:00,118185.2265625,118243.765625,117538.5859375,117913.7265625,3270074368
2025-08-14 17:00:00+00:00,117883.328125,118162.203125,117628.0859375,117913.828125,648306688
2025-08-14 18:00:00+00:00,117912.0,118253.53125,117415.6328125,118234.71875,193847296
2025-08-14 19:00:00+00:00,118130.9140625,118468.0859375,118080.1328125,118128.84375,0
2025-08-14 20:00:00+00:00,118009.6796875,118183.265625,117806.765625,117890.3359375,1509220352
2025-08-14 21:00:00+00:00,117962.875,118260.5625,117491.609375,117966.9609375,555540480
2025-08-14 22:00:00+00:00,117970.4140625,118409.71875,117726.4609375,118394.3984375,0
2025-08-14 23:00:00+00:00,118378.7109375,118606.28125,118329.8125,118373.78125,0
2025-08-15 00:00:00+00:00,118369.5234375,118567.65625,118197.203125,118288.8125,0
2025-08-15 01:00:00+00:00,118288.765625,118815.6328125,118163.7265625,118805.9375,0
2025-08-15 02:00:00+00:00,118807.9921875,118992.0859375,118733.0625,118820.6171875,583221248
2025-08-15 03:00:00+00:00,118801.1796875,119186.390625,118755.0,119074.125,0
2025-08-15 04:00:00+00:00,119082.140625,119305.8671875,118901.171875,118961.09375,0
2025-08-15 05:00:00+00:00,118941.0546875,119038.59375,118777.1953125,119005.5859375,0
2025-08-15 06:00:00+00:00,119061.7421875,119318.265625,118991.25,119188.8359375,0
2025-08-15 07:00:00+00:00,119174.453125,119174.453125,118877.3515625,119039.1328125,0
2025-08-15 08:00:00+00:00,119045.8125,119236.25,118993.6171875,118993.6171875,0
2025-08-15 09:00:00+00:00,118987.9140625,119124.140625,118707.171875,118740.5703125,0
2025-08-15 10:00:00+00:00,118776.4453125,119098.2578125,118776.4453125,118976.0390625,0
2025-08-15 11:00:00+00:00,118976.0390625,119178.8359375,118976.0390625,119092.765625,0
2025-08-15 12:00:00+00:00,119063.6796875,119180.734375,118636.75,118795.734375,0
2025-08-15 13:00:00+00:00,118778.9140625,118796.171875,117816.5390625,117857.6484375,0
2025-08-15 14:00:00+00:00,117782.15625,118317.8984375,117407.59375,117435.5703125,0
2025-08-15 15:00:00+00:00,117419.5390625,117633.0,116943.2890625,117359.5390625,1144651776
2025-08-15 16:00:00+00:00,117322.6171875,117453.5390625,116933.53125,117443.96875,0
2025-08-15 17:00:00+00:00,117431.4609375,117874.921875,117078.4453125,117678.0078125,1136173056
2025-08-15 18:00:00+00:00,117652.7109375,117669.5546875,117143.375,117189.328125,0
2025-08-15 19:00:00+00:00,117169.6796875,117445.734375,116943.34375,117005.4921875,1112195072
2025-08-15 20:00:00+00:00,116988.03125,117382.484375,116975.9140625,117355.7578125,0
2025-08-15 21:00:00+00:00,117387.796875,117421.7109375,117130.6640625,117377.7890625,0
2025-08-15 22:00:00+00:00,117397.0859375,117809.890625,117390.6484375,117777.828125,0
2025-08-15 23:00:00+00:00,117834.296875,117856.671875,117155.9609375,117416.2890625,181051392
2025-08-16 00:00:00+00:00,117400.25,117845.6953125,117317.09375,117834.2734375,95674368
2025-08-16 01:00:00+00:00,117807.765625,117996.0625,117740.0390625,117899.3203125,0
2025-08-16 02:00:00+00:00,117899.140625,117908.4453125,117568.140625,117597.875,0
2025-08-16 03:00:00+00:00,117588.375,117768.6796875,117511.21875,117511.21875,0
2025-08-16 04:00:00+00:00,117563.4765625,117972.375,117541.3203125,117906.609375,0
2025-08-16 05:00:00+00:00,117914.1953125,117914.1953125,117650.5859375,117679.5546875,1111580672
2025-08-16 06:00:00+00:00,117682.0,117715.640625,117407.203125,117480.609375,0
2025-08-16 07:00:00+00:00,117459.4375,117775.7109375,117459.0625,117716.4453125,1628676096
2025-08-16 08:00:00+00:00,117697.734375,117739.671875,117594.671875,117731.0390625,0
2025-08-16 09:00:00+00:00,117717.0078125,117778.8828125,117492.3046875,117492.3046875,0
2025-08-16 10:00:00+00:00,117477.3984375,117492.1171875,117333.25,117462.5703125,776949760
2025-08-16 11:00:00+00:00,117456.53125,117623.28125,117449.0625,117449.0625,902344704
2025-08-16 12:00:00+00:00,117471.9609375,117822.1171875,117450.9765625,117822.1171875,0
